User_ID,Signup_Date
13180,1936-07-23
23994,1912-06-11
39620,1974-01-24
39692,1999-02-27
32562,1985-11-24
31288,1975-06-13
22354,1994-08-09
12907,1980-02-14
14190,2002-08-19
40359,1956-07-01
22228,1992-10-25
13783,1976-02-03
8683,1979-10-02
8443,2014-09-09
16126,1999-03-28
27651,2009-02-20
11525,2003-08-07
41223,2001-12-26
15382,2007-12-22
22809,2003-04-19
38457,2015-06-04
33366,1999-04-12
32092,2005-08-17
39775,2000-01-17
22125,2003-08-20
33657,2003-08-17
17531,2006-06-22
25725,2003-12-06
5506,2008-02-19
46978,1998-11-05
8583,2001-01-05
13455,2016-03-04
31121,2009-05-07
36500,2011-04-13
20373,2001-06-15
23984,2014-06-25
1721,2001-11-10
16332,2008-01-16
30159,1998-07-18
24535,2007-03-11
15332,2006-11-08
23268,2000-04-28
37864,2004-09-14
34037,2009-08-22
26623,2002-05-11
40706,1985-08-22
11016,1993-12-14
33546,2006-07-23
26638,1987-08-04
22031,1997-11-01
6674,1998-11-04
11569,1989-06-15
21567,1996-02-26
25164,2002-09-08
13133,1984-07-15
47439,2005-12-16
42834,1994-10-23
28004,2001-01-13
13925,1986-01-20
17520,1987-02-02
41842,1982-01-21
28275,1986-04-26
41588,2009-03-12
21880,2013-04-16
18817,2004-03-26
14469,2009-03-23
42886,1987-01-14
17289,1986-11-23
17291,1990-05-25
39819,1994-10-16
24206,1995-07-09
6035,2010-12-10
39061,1999-09-19
42906,2004-02-07
22172,1991-04-11
31147,1984-09-09
41131,1993-03-17
9645,2008-01-23
36269,1988-08-17
16304,1991-08-08
37811,1991-07-14
39356,2003-01-13
25800,2002-04-21
40415,1993-11-04
17378,1984-12-22
31976,1989-06-24
33773,2002-11-06
11246,1989-08-27
30192,2004-10-13
19446,1989-03-14
22008,1995-04-24
36092,1985-01-15
14335,1988-07-16
19457,1982-09-20
30721,1973-04-16
16402,1979-11-17
15133,2000-07-21
13358,1990-07-16
23855,2005-04-16
10288,1983-08-24
43082,1994-12-02
26447,1985-09-23
36694,1996-09-22
37232,1973-12-13
19066,1998-04-25
27807,1972-03-11
26279,1989-05-17
26799,1986-11-15
20146,1976-11-08
34741,1997-05-08
24256,1974-11-28
27841,2008-08-08
30660,1993-06-16
28372,1995-11-02
15324,2001-03-15
27103,1982-11-03
30182,1974-01-19
7662,1980-01-14
26614,1990-07-25
38137,1978-04-17
23828,2001-10-08
17715,2002-12-12
45964,1999-09-18
11935,1990-12-27
16545,1997-10-19
14513,1986-09-27
21174,2004-06-15
17594,1990-12-21
8136,1988-01-08
8933,1987-06-14
15604,1981-08-04
29978,1945-04-14
41341,1960-07-26
4105,1989-12-09
10864,1975-05-24
35358,1997-05-15
39728,2006-07-05
30257,1989-12-08
14158,1989-05-15
33147,2008-04-04
42905,2002-07-16
26012,2006-10-22
4256,2001-10-07
39843,1996-02-12
43429,1989-04-21
5288,2000-01-08
23213,1987-03-22
33738,2005-10-22
7886,1996-10-18
11990,1997-01-23
13530,1991-08-28
